DATA;PC;Task;Linha;ERROR;RAM USAGE;CPU USAGE;SNAPSHOT
(18/10/2019 16:34:00) ;BOTCREATOR;FreteBrasil;24;Unable to find Link. ‘Search Criteria’ did not match.;5643MB;46,16471%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-34.png;
(18/10/2019 16:35:36) ;BOTCREATOR;FreteBrasil;24;Unable to perform 'Click' action. ;5652MB;39,53735%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-35.png;
(18/10/2019 16:41:12) ;BOTCREATOR;FreteBrasil;26;Unable to perform 'Click' action.  (TYPE_015);5665MB;40,03933%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-41.png;
(18/10/2019 16:50:19) ;BOTCREATOR;FreteBrasil;24;Unable to find Link. ‘Search Criteria’ did not match.;5680MB;42,66287%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-50.png;
(18/10/2019 16:54:28) ;BOTCREATOR;FreteBrasil;24;Unable to find Link. ‘Search Criteria’ did not match.;5653MB;46,18579%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-54.png;
(18/10/2019 16:55:01) ;BOTCREATOR;FreteBrasil;24;Unable to perform 'Click' action. ;5665MB;53,32165%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 16-55.png;
(18/10/2019 17:01:49) ;BOTCREATOR;ValidarCTe;65;Unable to send the email. Please check the Tools > Options > Email Settings.If the problem persists, please contact us at support@AutomationAnywhere.com.;5661MB;48,85629%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\ValidarCTe 18-10-2019 17-1.png;
(18/10/2019 17:07:28) ;BOTCREATOR;ValidarCTe;65;Unable to send the email. Please check the Tools > Options > Email Settings.If the problem persists, please contact us at support@AutomationAnywhere.com.;5686MB;42,65379%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\ValidarCTe 18-10-2019 17-7.png;
(18/10/2019 17:07:35) ;BOTCREATOR;FreteBrasil;11;Cannot find window or application titled 'Frete Brasil 2.0*' that was open during recording.;5690MB;100%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\FreteBrasil 18-10-2019 17-7.png;
(18/10/2019 17:18:15) ;BOTCREATOR;ValidarCTe;92;Unable to find '6' DropDownButton. ‘Search Criteria’ did not match. (TYPE_1001);5731MB;68,99986%;C:\Users\botcreator\Documents\Automation Anywhere Files\Automation Anywhere\My Tasks\Ezequiel\Log\Snapshots\ValidarCTe 18-10-2019 17-18.png;
